,Gender,Age,email,Country,time_since_first_check,status
0,F,20,Nyles@physionest.net,European,14,1
1,F,24,Nyles@physionest.net,European,18,1
2,M,63,Tula@physionest.net,European,8,1
3,F,20,Sruly@physionest.net,European,18,1
4,F,19,Sruly@physionest.net,European,17,1
5,F,19,Nyles@physionest.net,European,16,1
6,F,19,Sruly@physionest.net,European,11,1
7,M,22,Lucie@physionest.net,European,16,1
8,F,21,Nyles@physionest.net,European,9,1
9,M,24,Sruly@physionest.net,European,13,1
10,F,18,Nyles@physionest.net,European,16,1
11,F,31,Nyles@physionest.net,European,7,1
12,F,29,Tula@physionest.net,European,11,1
13,F,28,Lucie@physionest.net,European,18,1
14,F,16,Tula@physionest.net,European,12,1
15,F,26,Lucie@physionest.net,European,10,1
16,F,30,Lucie@physionest.net,European,6,1
17,F,17,Nyles@physionest.net,European,6,1
18,M,14,Lucie@physionest.net,European,12,1
19,F,24,Nyles@physionest.net,European,12,1
20,F,27,Sruly@physionest.net,European,16,1
21,F,24,Nyles@physionest.net,European,17,1
22,M,21,Lucie@physionest.net,European,17,1
23,F,26,Lucie@physionest.net,European,15,1
24,F,28,Lucie@physionest.net,European,16,1
25,F,21,Tula@physionest.net,European,7,1
26,F,14,Tula@physionest.net,European,10,1
27,F,25,Sruly@physionest.net,European,10,1
28,M,31,Tula@physionest.net,European,8,1
29,F,21,Lucie@physionest.net,European,6,1
30,F,31,Tula@physionest.net,European,16,1
31,M,30,Nyles@physionest.net,European,16,0
32,F,20,Nyles@physionest.net,European,11,1
33,F,28,Lucie@physionest.net,European,13,1
34,M,22,Tula@physionest.net,European,14,1
35,F,17,Lucie@physionest.net,European,16,1
36,F,19,Tula@physionest.net,European,7,1
37,F,22,Tula@physionest.net,European,11,1
38,F,29,Lucie@physionest.net,European,9,1
39,F,14,Tula@physionest.net,European,14,1
40,F,23,Sruly@physionest.net,European,13,1
41,F,28,Lucie@physionest.net,European,10,1
42,F,16,Sruly@physionest.net,European,14,1
43,F,26,Tula@physionest.net,European,13,1
44,F,22,Lucie@physionest.net,European,15,1
45,M,24,Tula@physionest.net,European,16,1
46,F,21,Lucie@physionest.net,European,10,1
47,F,25,Sruly@physionest.net,European,14,1
48,F,15,Sruly@physionest.net,European,17,1
49,F,22,Tula@physionest.net,European,18,1
50,F,24,Tula@physionest.net,European,9,1
51,F,16,Tula@physionest.net,European,16,1
52,F,25,Nyles@physionest.net,European,10,1
53,F,18,Lucie@physionest.net,European,11,1
54,M,16,Lucie@physionest.net,European,6,1
55,F,18,Lucie@physionest.net,European,16,1
56,M,30,Nyles@physionest.net,European,9,1
57,M,18,Tula@physionest.net,European,5,1
58,F,26,Sruly@physionest.net,European,14,1
59,M,30,Tula@physionest.net,European,18,1
60,F,28,Nyles@physionest.net,European,9,1
61,F,28,Sruly@physionest.net,European,13,1
62,M,20,Sruly@physionest.net,European,13,1
63,F,21,Sruly@physionest.net,European,13,1
64,M,21,Tula@physionest.net,European,5,1
65,M,71,Sruly@physionest.net,European,9,0
66,F,14,Sruly@physionest.net,European,7,1
67,F,25,Sruly@physionest.net,European,13,1
68,F,28,Lucie@physionest.net,European,5,1
69,M,15,Lucie@physionest.net,European,15,1
70,F,25,Nyles@physionest.net,European,16,1
71,F,19,Tula@physionest.net,European,5,1
72,M,27,Sruly@physionest.net,European,16,1
73,M,31,Sruly@physionest.net,European,6,1
74,M,19,Lucie@physionest.net,European,9,1
75,F,31,Sruly@physionest.net,European,17,1
76,M,17,Lucie@physionest.net,European,14,1
77,F,20,Nyles@physionest.net,European,15,1
78,M,22,Lucie@physionest.net,European,8,1
79,F,31,Lucie@physionest.net,European,16,1
80,F,27,Sruly@physionest.net,European,7,1
81,F,24,Sruly@physionest.net,European,8,1
82,F,30,Lucie@physionest.net,European,8,1
83,F,20,Lucie@physionest.net,European,14,1
84,F,22,Nyles@physionest.net,European,15,1
85,F,14,Sruly@physionest.net,European,8,1
86,F,18,Nyles@physionest.net,European,15,1
87,F,19,Tula@physionest.net,European,16,1
88,F,23,Nyles@physionest.net,European,12,1
89,F,14,Nyles@physionest.net,European,9,1
90,F,21,Sruly@physionest.net,European,17,1
91,F,28,Sruly@physionest.net,European,5,1
92,F,16,Nyles@physionest.net,European,12,1
93,F,28,Lucie@physionest.net,European,10,1
94,F,26,Nyles@physionest.net,European,15,1
95,F,15,Tula@physionest.net,European,10,1
96,F,23,Tula@physionest.net,European,5,1
97,F,22,Sruly@physionest.net,European,10,1
98,F,16,Lucie@physionest.net,European,6,1
99,F,26,Tula@physionest.net,European,17,1
100,F,18,Nyles@physionest.net,European,7,1
101,F,29,Tula@physionest.net,European,17,1
